Commune,Canton
Erlinsbach (AG),AG
Erlinsbach (SO),SO
Ermatingen,TG
Ermensee,LU
Ernen,VS
Ernetschwil,SG
Erschmatt,VS
Erschwil,SO
Ersigen,BE
Erstfeld,UR
Eschenbach (LU),LU
Eschenbach (SG),SG
Eschenz,TG
Eschert,BE
Eschiens,FR
Eschikofen,TG
Eschlikon,TG
Escholzmatt,LU
Escholzmatt-Marbach,LU
Esmonts,FR
Essert (FR),FR
Essertes,VD
Essertines-sur-Rolle,VD
Essertines-sur-Yverdon,VD
Essert-Pittet,VD
Essert-sous-Champvent,VD
Estavannens,FR
Estavayer,FR
Estavayer-le-Gibloux,FR
Estavayer-le-Lac,FR
Estevenens,FR
Etagnières,VD
Etoy,VD
Ettenhausen,TG
Ettingen,BL
Ettiswil,LU
Etzelkofen,BE
Etzgen,AG
Etziken,SO
Evilard,BE
Evionnaz,VS
Evolène,VS
Eyholz,VS
Eysins,VD
Fahrni,BE
Fahrwangen,AG
Fahy,BE
Fahy,JU
Faido,TI
Falera,GR
Fallanden,ZH
Fanas,GR
Faoug,VD
Farnern,BE
Farvagny,FR
Farvagny-le-Grand,FR
Farvagny-le-Petit,FR
Fechy,VD
Fehraltorf,ZH
Fehren,SO
Felben,TG
Felben-Wellhausen,TG
Feldbrunnen-St. Niklaus,SO
Feldis/Veulden,GR
Fellers,GR
Felsberg,GR
Fenin-Vilars-Saules,NE
Ferden,VS
Ferenbalm,BE
Ferlens (VD),VD
Ferpicloz,FR
Ferrera,GR
Ferreyres,VD
Feschel,VS
Fescoggia,TI
Fetigny,FR
Feuerthalen,ZH
Feusisberg,SZ
Fey,VD
Fiaugères,FR
Fideris,GR
Fiesch,VS
Fieschertal,VS
Fiez,VD
Filet,VS
Filisur,GR
Filzbach,GL
Finhaut,VS
Finsterhennen,BE
Fischbach,LU
Fischbach-Goslikon,AG
Fischenthal,ZH
Fischingen,TG
Fisibach,AG
Fislisbach,AG
Flaach,ZH
Flasch,GR
Flawil,SG
Flerden,GR
Fleurier,NE
Flims,GR
Flond,GR
Fluelen,UR
Fluhli,LU
Flumenthal,SO
Flums,SG
Flurlingen,ZH
Font,FR
Fontainemelon,NE
Fontaines (NE),NE
Fontaines-sur-Grandson,VD
Fontanezier,VD
Fontenais,BE
Fontenais,JU
Forel (FR),FR
Forel (Lavaux),VD
Forel-sur-Lucens,VD
Formangueires,FR
Forst,BE
Forst-Langenbuhl,BE
Founex,VD
Franex,FR
Fraschels,FR
Frasco,TI
Frasnacht,TG
Frasses,FR
Fraubrunnen,BE
Frauenfeld,TG
Frauenkappelen,BE
Fregiecourt,BE
Fregiecourt,JU
Freienbach,SZ
Freienstein-Teufen,ZH
Freienwil,AG
Freimettigen,BE
Frenkendorf,BL
Fresens,NE
Fribourg,FR
Frick,AG
Friltschen,TG
Froideville,VD
Fruthwilen,TG
Frutigen,BE
Ftan,GR
Fuldera,GR
Fulenbach,SO
Fullinsdorf,BL
Full-Reuenthal,AG
Fully,VS
Furna,GR
Furstenau,GR
Fusio,TI
Fuyens,FR
Gachlingen,SH
Gachliwil,SO
Gachnang,TG
Gadmen,BE
Gais,AR
Gaiserwald,SG
Galgenen,SZ
Gallenkirch,AG
Galmiz,FR
Gals,BE
Gambarogno,TI
Gampel,VS
Gampel-Bratsch,VS
Gampelen,BE
Gams,SG
Gandria,TI
Gansbrunnen,SO
Gansingen,AG
Ganterschwil,SG
Gebenstorf,AG
Gelfingen,LU
Gelterfingen,BE
Gelterkinden,BL
Geltwil,AG
Gemeinschaftsgebiet Maienfeld-Flasch,GR
Gempen,SO
Gempenach,FR
Genève,GE
Genestrerio,TI
Genolier,VD
Genthod,GE
Gentilino,TI
Gerlafingen,SO
Gerlikon,TG
Geroldswil,ZH
Gerra (Gambarogno),TI
Gerra (Verzasca),TI
Gersau,SZ
Gerzensee,BE
Geschinen,VS
Gettnau,LU
Geuensee,LU
Ghirone,TI
Gibloux,FR
Giebenach,BL
Giez,VD
Giffers,FR
Gillarens,FR
Gilly,VD
Gimel,VD
Gingins,VD
Giornico,TI
Gipf-Oberfrick,AG
Gisikon,LU
Giswil,OW
Giubiasco,TI
Giumaglio,TI
Givisiez,FR
Givrins,VD
Gland,VD
Glarus,GL
Glarus Nord,GL
Glarus Sud,GL
Glattfelden,ZH
Gletterens,FR
Glis,VS
Glovelier,BE
Glovelier,JU
Gluringen,VS
Gnosca,TI
Golaten,BE
Goldach,SG
Goldingen,SG
Gollion,VD
Gommiswald,SG
Goms,VS
Gondiswil,BE
Gonten,AI
Gontenschwil,AG
Goppisberg,VS
Gordevio,TI
Gordola,TI
Gorduno,TI
Gorgier,NE
Goschenen,UR
Gossau (SG),SG
Gossau (ZH),ZH
Gossens,VD
Gossliwil,SO
Gotighofen,TG
Gottlieben,TG
Gottshaus,TG
Goumoëns,VD
Goumoens-la-Ville,VD
Goumoens-le-Jux,VD
Goumois,BE
Goumois,JU
Graben,BE
Grabs,SG
Grachen,VS
Grafenried,BE
Grafschaft,VS
Graltshausen,TG
Grancia,TI
Grancy,VD
Grandcour,VD
Grandevent,VD
Grandfontaine,BE
Grandfontaine,JU
Grandson,VD
Grandval,BE
Grandvaux,VD
Grandvillard,FR
Granges (Veveyse),FR
Granges (VS),VS
Granges-de-Vesin,FR
Granges-Paccot,FR
Granges-près-Marnand,VD
Grangettes,FR
Granichen,AG
Grattavache,FR
Gravesano,TI
Greich,VS
Greifensee,ZH
Grellingen,BE
Grellingen,BL
Grenchen,SO
Greng,FR
Grengiols,VS
Grenilles,FR
Grens,VD
Greppen,LU
Gresso,TI
Gressy,VD
Gretzenbach,SO
Griesenberg,TG
Grimentz,VS
Grimisuat,VS
Grindel,SO
Grindelwald,BE
Grod,SO
Grolley,FR
Grone,VS
Grono,GR
Grossaffoltern,BE
Grossandelfingen,ZH
Grossbosingen,FR
Grossdietwil,LU
Grossgurmels,FR
Grossguschelmuth,FR
Grosshochstetten,BE
Grosswangen,LU
Grub (AR),AR
Gruningen,ZH
Grusch,GR
Gruyères,FR
Gryon,VD
Gsteig,BE
Gsteigwiler,BE
Guarda,GR
Gudo,TI
Guggisberg,BE
Gumefens,FR
Gundelhart-Horhausen,TG
Gundlischwand,BE
Gunsberg,SO
Guntershausen bei Aadorf,TG
Guntershausen bei Birwinken,TG
Guntmadingen,SH
Gunzgen,SO
Gunzwil,LU
Gurbru,BE
Gurmels,FR
Gurtnellen,UR
Gurzelen,BE
Guschelmuth,FR
Gutenburg,BE
Guttannen,BE
Guttet,VS
Guttet-Feschel,VS
Guttingen,TG
Gy,GE
Habkern,BE
Habsburg,AG
Hafelfingen,BL
Hagenbuch,ZH
Hagendorf,SO
Haggenschwil,SG
Hagglingen,AG
Hagneck,BE
Halden,TG
Haldenstein,GR
Hallau,SH
Hallwil,AG
Hallwilersee (AG),AG
Hallwilersee (LU),LU
Halten,SO
Hamikon,LU
Happerswil-Buch,TG
Harenwilen,TG
Harkingen,SO
Hasle (LU),LU
Hasle bei Burgdorf,BE
Haslen,GL
Hasliberg,BE
Hatzingen,GL
Hauenstein-Ifenthal,SO
Hauptwil,TG
Hauptwil-Gottshaus,TG
Hausen (AG),AG
Hausen am Albis,ZH
Hausen bei Brugg,AG
Haute-Ajoie,JU
Hauterive,NE
Hauterive (FR),FR
Hauterive (NE),NE
Haute-Sorne,JU
Hauteville,FR
Haut-Intyamon,FR
Hautligen,BE
Haut-Vully,FR
Hedingen,ZH
Hefenhofen,TG
Heiden,AR
Heiligenschwendi,BE
Heiligkreuz,TG
Heimberg,BE
Heimenhausen,BE
Heimiswil,BE
Heinrichswil,SO
Heinrichswil-Winistorf,SO
Heitenried,FR
Heldswil,TG
Hellikon,AG
Hellsau,BE
Hemberg,SG
Hemishofen,SH
Hemmental,SH
Hemmiken,BL
Henau,SG
Hendschiken,AG
Henggart,ZH
Hennens,FR
Henniez,VD
Herbetswil,SO
Herbligen,BE
Herblingen,SH
Herdern,TG
Heremence,VS
Hergiswil (NW),NW
Hergiswil bei Willisau,LU
Herisau,AR
Herlisberg,LU
Hermance,GE
Hermenches,VD
Hermetschwil-Staffeln,AG
Hermiswil,BE
Hermrigen,BE
Herrenhof,TG
Herrliberg,ZH
Hersberg,BL
Hersiwil,SO
Herznach,AG
Herzogenbuchsee,BE
Hessenreuti,TG
Hessigkofen,SO
Hettlingen,ZH
Hildisrieden,LU
Hilfikon,AG
Hilterfingen,BE
Himmelried,SO
Hindelbank,BE
Hinterrhein,GR
Hinwil,ZH
Hirschthal,AG
Hirzel,ZH
Hittnau,ZH
Hitzkirch,LU
Hochdorf,LU
Hochfelden,ZH
Hochstetten,BE
Hochwald,SO
Hofen,SH
Hofen,BE
Hofstetten (SO),SO
Hofstetten (ZH),ZH
Hofstetten bei Brienz,BE
Hofstetten bei Elgg,ZH
Hofstetten-Fluh,SO
Hohenrain,LU
